player,year,team,position,salary
"Abrams, CJ",2023,Washington,infielder,724200
"Abrams, CJ",2022,San Diego,infielder,700000
"Abreu, Albert",2022,Texas,pitcher,707500
"Abreu, Albert",2023,N.Y. Yankees,pitcher,738700
"Abreu, Bryan",2021,Houston,pitcher,574100
"Abreu, Bryan",2022,Houston,pitcher,719600
"Abreu, Bryan",2023,Houston,pitcher,745200
"Abreu, Jose",2021,Chicago White Sox,infielder,17666667
"Abreu, Jose",2022,Chicago White Sox,infielder,19131153
"Abreu, Jose",2023,Houston,infielder,19500000
"Acevedo, Domingo",2022,Oakland,pitcher,700000
"Acevedo, Domingo",2023,Oakland,pitcher,725000
"Acuna, Ronald",2021,Atlanta,outfielder,5000000
"Acuna, Ronald",2022,Atlanta,outfielder,15000000
"Acuna, Ronald",2023,Atlanta,outfielder,17000000
"Adam, Jason",2021,Chicago Cubs,pitcher,592500
"Adam, Jason",2022,Tampa Bay,pitcher,900000
"Adam, Jason",2023,Tampa Bay,pitcher,1775000
"Adames, Willy",2021,Tampa Bay,infielder,590000
"Adames, Willy",2022,Milwaukee,infielder,4600000
"Adames, Willy",2023,Milwaukee,infielder,8700000
"Adams, Austin",2021,San Diego,pitcher,580200
"Adams, Austin",2022,San Diego,pitcher,925000
"Adams, Riley",2022,Washington,catcher,706700
"Adams, Riley",2023,Washington,catcher,728800
"Adell, Jordon",2022,L.A. Angels,outfielder,720000
"Adon, Joan",2022,Washington,pitcher,700200
"Adrianza, Ehire",2021,Atlanta,infielder,1500000
"Adrianza, Ehire",2022,Washington,outfielder,1500000
"Adrianza, Ehire",2023,Atlanta,infielder,1000000
"Aguilar, Jesus",2021,Miami,infielder,4350000
"Aguilar, Jesus",2022,Miami,infielder,7300000
"Aguilar, Jesus",2023,Oakland,infielder,3000000
"Ahmed, Nick",2021,Arizona,infielder,8125000
"Ahmed, Nick",2022,Arizona,infielder,7875000
"Ahmed, Nick",2023,Arizona,infielder,10375000
"Akin, Keegan",2022,Baltimore,pitcher,709500
"Akin, Keegan",2023,Baltimore,pitcher,731100
"Akiyama, Shogo",2021,Cincinnati,outfielder,7000000
"Alberto, Hanser",2021,Kansas City,infielder,1650000
"Alberto, Hanser",2022,L.A. Dodgers,infielder,1600000
"Alberto, Hanser",2023,Chicago White Sox,infielder,1300000
"Albies, Ozzie",2021,Atlanta,infielder,3000000
"Albies, Ozzie",2022,Atlanta,infielder,5000000
"Albies, Ozzie",2023,Atlanta,infielder,7000000
"Alcala, Jorge",2021,Minnesota,pitcher,575500
"Alcala, Jorge",2022,Minnesota,pitcher,717900
"Alcala, Jorge",2023,Minnesota,pitcher,790000
"Alcantara, Sandy",2021,Miami,pitcher,630000
"Alcantara, Sandy",2022,Miami,pitcher,3800000
"Alcantara, Sandy",2023,Miami,pitcher,6300000
"Alcantara, Sergio",2022,Arizona,infielder,712500
"Alexander, Jason",2023,Milwaukee,pitcher,732500
"Alexander, Scott",2021,L.A. Dodgers,pitcher,1000000
"Alexander, Scott",2023,San Francisco,pitcher,1150000
"Alexander, Tyler",2021,Detroit,pitcher,578800
"Alexander, Tyler",2022,Detroit,pitcher,716900
"Alexander, Tyler",2023,Detroit,pitcher,1875000
"Alfaro, Jorge",2021,Miami,catcher,2050000
"Alfaro, Jorge",2022,San Diego,catcher,2725000
"Alford, Anthony",2021,Pittsburgh,outfielder,582000
"Alford, Anthony",2022,Pittsburgh,outfielder,725000
"Allard, Kolby",2021,Texas,pitcher,584250
"Allard, Kolby",2022,Texas,pitcher,720000
"Allard, Kolby",2023,Atlanta,pitcher,750000
"Allen, Austin",2022,Oakland,catcher,705000
