player,salary_2021,salary_2022,salary_2023,team_2021,team_2022,team_2023,position_2021,position_2022,position_2023
"Abreu, Bryan",574100,719600,745200,Houston,Houston,Houston,pitcher,pitcher,pitcher
"Abreu, Jose",17666667,19131153,19500000,Chicago White Sox,Chicago White Sox,Houston,infielder,infielder,infielder
"Acuna, Ronald",5000000,15000000,17000000,Atlanta,Atlanta,Atlanta,outfielder,outfielder,outfielder
"Adam, Jason",592500,900000,1775000,Chicago Cubs,Tampa Bay,Tampa Bay,pitcher,pitcher,pitcher
"Adames, Willy",590000,4600000,8700000,Tampa Bay,Milwaukee,Milwaukee,infielder,infielder,infielder
"Adams, Austin",580200,925000,NA,San Diego,San Diego,NA,pitcher,pitcher,NA
"Adrianza, Ehire",1500000,1500000,1000000,Atlanta,Washington,Atlanta,infielder,outfielder,infielder
"Aguilar, Jesus",4350000,7300000,3000000,Miami,Miami,Oakland,infielder,infielder,infielder
"Ahmed, Nick",8125000,7875000,10375000,Arizona,Arizona,Arizona,infielder,infielder,infielder
"Akiyama, Shogo",7000000,NA,NA,Cincinnati,NA,NA,outfielder,NA,NA
"Alberto, Hanser",1650000,1600000,1300000,Kansas City,L.A. Dodgers,Chicago White Sox,infielder,infielder,infielder
"Albies, Ozzie",3000000,5000000,7000000,Atlanta,Atlanta,Atlanta,infielder,infielder,infielder
"Alcala, Jorge",575500,717900,790000,Minnesota,Minnesota,Minnesota,pitcher,pitcher,pitcher
"Alcantara, Sandy",630000,3800000,6300000,Miami,Miami,Miami,pitcher,pitcher,pitcher
"Alexander, Scott",1000000,NA,1150000,L.A. Dodgers,NA,San Francisco,pitcher,NA,pitcher
"Alexander, Tyler",578800,716900,1875000,Detroit,Detroit,Detroit,pitcher,pitcher,pitcher
"Alfaro, Jorge",2050000,2725000,NA,Miami,San Diego,NA,catcher,catcher,NA
"Alford, Anthony",582000,725000,NA,Pittsburgh,Pittsburgh,NA,outfielder,outfielder,NA
"Allard, Kolby",584250,720000,750000,Texas,Texas,Atlanta,pitcher,pitcher,pitcher
"Allen, Logan",571500,701700,NA,Cleveland,Cleveland,NA,pitcher,pitcher,NA
"Almonte, Yency",575500,NA,1500000,Colorado,NA,L.A. Dodgers,pitcher,NA,pitcher
"Almora, Albert",1250000,NA,NA,N.Y. Mets,NA,NA,outfielder,NA,NA
"Alonso, Pete",676775,7400000,14500000,N.Y. Mets,N.Y. Mets,N.Y. Mets,infielder,infielder,infielder
"Altavilla, Dan",850000,NA,NA,San Diego,NA,NA,pitcher,NA,NA
"Altuve, Jose",29000000,29000000,29000000,Houston,Houston,Houston,infielder,infielder,infielder
"Alvarado, Jose",1000000,1900000,3450000,Philadelphia,Philadelphia,Philadelphia,pitcher,pitcher,pitcher
"Alvarez, Jose",1150000,1500000,NA,San Francisco,San Francisco,NA,pitcher,pitcher,NA
"Alvarez, Yordan",609000,764600,7833333,Houston,Houston,Houston,designated_hitter,designated_hitter,designated_hitter
