player,team,salary,record,target_subgroup
"Bumgarner, Madison",Arizona,21882892,0.457,FALSE
"Marte, Ketel",Arizona,11600000,0.457,FALSE
"Ahmed, Nick",Arizona,10375000,0.457,FALSE
"Kelly, Merrill",Arizona,8500000,0.457,FALSE
"Walker, Christian",Arizona,6500000,0.457,FALSE
"Melancon, Mark*",Arizona,6000000,0.457,FALSE
"Gallen, Zac",Arizona,5600000,0.457,FALSE
"Chafin, Andrew",Arizona,5500000,0.457,FALSE
"Gurriel, Lourdes",Arizona,5400000,0.457,FALSE
"Davies, Zac",Arizona,4700000,0.457,FALSE
"Kelly, Carson*",Arizona,4275000,0.457,FALSE
"Longoria, Evan",Arizona,4000000,0.457,FALSE
"Castro, Miguel",Arizona,3500000,0.457,FALSE
"Rojas, Josh",Arizona,2575000,0.457,FALSE
"McGough, Scott",Arizona,2500000,0.457,FALSE
"Carroll, Corbin",Arizona,1625000,0.457,FALSE
"Lewis, Kyle",Arizona,1610000,0.457,FALSE
"Sulser, Cole",Arizona,825000,0.457,FALSE
"Mantiply, Joe*",Arizona,756000,0.457,FALSE
"Ginkel, Kevin",Arizona,746600,0.457,FALSE
"Perdomo, Geraldo",Arizona,738600,0.457,FALSE
"McCarthy, Jake",Arizona,735600,0.457,FALSE
"Thomas, Alek",Arizona,735200,0.457,FALSE
"Nelson, Kyle",Arizona,728900,0.457,FALSE
"Martin, Corbin*",Arizona,728400,0.457,FALSE
"Herrera, Jose",Arizona,724300,0.457,FALSE
"Jameson, Drey",Arizona,723600,0.457,FALSE
"Nelson, Ryne",Arizona,722700,0.457,FALSE
"Moreno, Gabriel",Arizona,722500,0.457,FALSE
"Vargas, Carlos",Arizona,721000,0.457,FALSE
"Robinson, Kristian**",Arizona,720000,0.457,FALSE
"Olson, Matt",Atlanta,21000000,0.623,FALSE
"Morton, Charlie",Atlanta,20000000,0.623,FALSE
"Ozuna, Marcell",Atlanta,18000000,0.623,FALSE
"Acuna, Ronald",Atlanta,17000000,0.623,FALSE
"Iglesias, Raisel*",Atlanta,16000000,0.623,FALSE
"Riley, Austin",Atlanta,15000000,0.623,FALSE
"Fried, Max",Atlanta,13500000,0.623,FALSE
"Rosario, Eddie",Atlanta,9000000,0.623,FALSE
"D'Arnaud, Travis",Atlanta,8000000,0.623,FALSE
"Albies, Ozzie",Atlanta,7000000,0.623,FALSE
"Yates, Kirby",Atlanta,6000000,0.623,FALSE
"Harris, Michael",Atlanta,5000000,0.623,FALSE
"McHugh, Collin",Atlanta,5000000,0.623,FALSE
"Minter, A.J.",Atlanta,4287500,0.623,FALSE
"Murphy, Sean",Atlanta,4000000,0.623,FALSE
"Pillar, Kevin",Atlanta,3000000,0.623,FALSE
"Jimenez, Joe",Atlanta,2765000,0.623,FALSE
"Arcia, Orlando",Atlanta,2300000,0.623,FALSE
"Luetge, Lucas",Atlanta,1550000,0.623,FALSE
"Chavez, Jesse",Atlanta,1200000,0.623,FALSE
"Matzek, Tyler*",Atlanta,1200000,0.623,FALSE
"Adrianza, Ehire",Atlanta,1000000,0.623,FALSE
"Strider, Spencer",Atlanta,1000000,0.623,FALSE
"Anderson, Nick",Atlanta,875000,0.623,FALSE
"Allard, Kolby*",Atlanta,750000,0.623,FALSE
"Hilliard, Sam",Atlanta,750000,0.623,FALSE
"Tonkin, Michael",Atlanta,750000,0.623,FALSE
"Wright, Kyle*",Atlanta,750000,0.623,FALSE
