sex,child_age,at_work
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,1
male,0,0
male,0,1
male,0,1
male,0,1
male,0,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,0
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,0
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,0
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,0
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
male,2,0
male,2,1
male,2,1
male,2,1
male,2,1
male,2,1
