WGT,RACE,NETWORTH
 3027.9561205000,1,    762100.00
 3054.9000651000,1,    854300.00
 3163.6377657000,1,    678200.00
 3166.2284633000,1,    279600.00
 3235.6247147000,1,    602600.00
  236.6347540800,1,    721800.00
  245.8483980200,1,    723800.00
  253.1034770100,1,    721400.00
  252.9081179500,1,    724300.00
  253.8113115100,1,    722600.00
  678.8693074700,1,  43597590.00
  671.8323703600,1,  44451510.00
  619.9533487800,1,  41056890.00
  691.5135948000,1,  44730180.00
  671.7729155700,1,  43740180.00
  621.9488538900,1,   2203000.00
  653.2911760300,1,   2006000.00
  597.1690739700,1,   2000000.00
  611.8923898000,1,   2354000.00
  612.0693479200,1,   2000000.00
 7191.4811087000,2,      4100.00
 7352.4872047000,2,      5500.00
 7270.7035407000,2,      4500.00
 7383.8665965000,2,      5600.00
 7330.5376686000,2,      4500.00
 3486.2228880000,1,   7232000.00
 3675.3832071000,1,   6523000.00
 3839.7629768000,1,   6371000.00
 3695.6583057000,1,   7474000.00
 3530.7782016000,1,   6791170.00
   58.6690760380,1,  70669800.00
   57.8633989470,1,  73429800.00
   58.1827206090,1,  76810800.00
   59.4519731170,1,  73633800.00
   59.1988706900,1,  74328800.00
 2459.2932176000,2,      1500.00
 2472.8364156000,2,      1500.00
 2435.5703354000,2,      1500.00
 2476.1511929000,2,      1500.00
 2441.1281292000,2,      1500.00
 3550.9413483000,1,   6406100.00
 3645.3938847000,1,   6405100.00
 3789.1858457000,1,   6405200.00
 3639.1057309000,1,  11266200.00
 2203.1683607000,1,  22666100.00
 7792.6790931000,1,    211350.00
 7003.4916989000,1,    214350.00
 7158.2755568000,1,    215250.00
 7408.6904465000,1,    212950.00
 7082.9947394000,1,    213150.00
 1823.1367550000,1,    324500.00
 1643.7730848000,1,    323500.00
 1723.3107211000,1,    324500.00
 1778.5797797000,1,    324500.00
 1613.7292722000,1,    324500.00
 6265.2276234000,1,      1320.00
 6259.5187819000,1,      9420.00
 6296.7174038000,1,      2120.00
 6276.2111101000,1,      5220.00
 6272.7711906000,1,      2020.00
 3681.5592967000,1,    217000.00
 3487.0960233000,1,    153240.00
 2111.2501745000,1,    106000.00
 2143.1473853000,1,     95000.00
 2194.2319965000,1,     66200.00
 4004.2661924000,2,    422190.00
 6010.7193961000,2,    364200.00
 6214.2784759000,2,    410781.00
 6054.5048227000,2,    419981.00
 6133.2812608000,2,    363281.00
18445.5484960000,1,   -163980.00
17881.6348380000,1,   -166590.00
18238.6119440000,1,   -164530.00
18054.4868590000,1,   -168190.00
17999.9060870000,1,   -160770.00
 3426.3787547000,3,    292790.00
 3162.4438975000,3,    291190.00
 3266.9243166000,3,    290090.00
 3234.7280155000,3,    293460.00
